Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Cover_Type,Wilderness_Area,Soil_Type
2730,337,21,85,18,1279,170,207,173,2230,Aspen,Comanche Peak,_31
2647,63,14,30,-4,1410,232,211,108,713,Aspen,Rawah,_35
2827,133,10,150,40,750,236,235,129,42,Aspen,Comanche Peak,_31
2939,288,10,268,26,5134,193,239,186,1718,Aspen,Comanche Peak,_31
2795,59,27,242,120,272,228,174,62,1736,Aspen,Comanche Peak,_31
2815,183,16,228,51,1690,222,249,154,1240,Aspen,Rawah,_15
2769,294,18,67,20,1800,167,233,205,1061,Aspen,Rawah,_35
2697,310,15,108,3,1517,178,229,190,2212,Aspen,Rawah,_19
2838,89,19,430,128,459,245,207,84,1595,Aspen,Comanche Peak,_32
2825,53,26,285,177,295,224,176,71,1440,Aspen,Comanche Peak,_31
2930,89,35,283,185,2059,247,161,12,636,Aspen,Rawah,_15
2761,144,8,190,31,2569,232,239,138,2139,Aspen,Rawah,_13
2901,274,12,0,0,2121,187,243,195,1550,Aspen,Rawah,_25
2936,22,11,201,27,5006,213,216,138,1825,Aspen,Comanche Peak,_31
2904,247,10,180,18,1869,198,248,188,1645,Aspen,Rawah,_25
2778,56,14,272,5,295,228,211,113,832,Aspen,Comanche Peak,_32
2892,326,17,725,126,2263,176,219,182,808,Aspen,Rawah,_13
2851,157,8,330,23,2295,229,241,145,2106,Aspen,Rawah,_28
2714,86,20,42,10,270,244,203,79,518,Aspen,Comanche Peak,_32
2570,310,7,258,25,1423,200,235,175,1536,Aspen,Rawah,_4
2696,137,11,0,0,1146,237,236,128,551,Aspen,Rawah,_4
2841,143,17,824,63,2290,243,233,113,1621,Aspen,Rawah,_15
2806,110,15,190,52,1944,244,223,104,850,Aspen,Rawah,_33
2801,89,14,60,-1,648,240,217,104,228,Aspen,Comanche Peak,_32
2827,154,16,0,0,457,238,239,126,1256,Aspen,Rawah,_35
2735,85,25,201,103,210,246,188,56,811,Aspen,Comanche Peak,_32
2852,114,24,255,86,1898,253,208,69,1087,Aspen,Rawah,_15
2867,89,33,300,195,1301,248,169,24,876,Aspen,Rawah,_15
2692,80,24,90,60,108,243,190,64,937,Aspen,Comanche Peak,_32
2739,78,28,90,45,108,242,176,44,1266,Aspen,Comanche Peak,_31
2835,39,22,283,173,295,215,186,97,1486,Aspen,Comanche Peak,_32
2924,85,31,319,180,2018,246,171,30,631,Aspen,Rawah,_15
2765,9,13,644,66,210,205,213,144,875,Aspen,Rawah,_13
2884,292,24,641,183,2010,145,227,219,1899,Aspen,Rawah,_15
2686,354,12,0,0,3167,200,219,157,6155,Aspen,Comanche Peak,_32
2730,211,29,95,48,1261,183,252,188,1630,Aspen,Rawah,_6
2881,225,4,0,0,1671,214,244,167,1541,Aspen,Rawah,_25
2762,66,22,390,88,420,235,190,76,2341,Aspen,Comanche Peak,_31
2814,143,22,124,65,2042,245,230,102,895,Aspen,Rawah,_15
2777,85,15,60,-9,564,240,214,100,242,Aspen,Comanche Peak,_32
2720,117,16,30,-11,335,246,223,101,454,Aspen,Comanche Peak,_32
2764,138,28,182,-47,601,249,217,76,351,Aspen,Comanche Peak,_32
2529,95,6,400,26,871,229,231,136,1266,Aspen,Rawah,_19
2827,157,25,120,79,1924,238,234,110,1008,Aspen,Rawah,_15
2844,141,20,162,93,2070,245,230,104,782,Aspen,Rawah,_15
2823,58,17,499,157,510,230,202,99,2230,Aspen,Comanche Peak,_31
2885,198,5,0,0,1666,218,244,162,1578,Aspen,Rawah,_25
2893,81,20,277,66,1048,243,199,77,323,Aspen,Comanche Peak,_32
2881,260,10,124,16,2174,196,246,188,1341,Aspen,Rawah,_25
2642,276,19,0,0,1448,165,240,213,900,Aspen,Rawah,_35
2908,108,28,319,167,2021,254,195,49,600,Aspen,Rawah,_15
2793,65,24,182,110,210,234,184,68,1565,Aspen,Comanche Peak,_31
2928,81,6,0,0,4731,228,230,136,2014,Aspen,Comanche Peak,_25
2837,41,10,430,71,1974,222,217,130,858,Aspen,Rawah,_13
2886,166,15,270,103,1027,231,244,140,2965,Aspen,Rawah,_13
2743,24,9,485,109,2609,215,220,141,1507,Aspen,Rawah,_34
2571,76,4,467,18,1283,225,232,143,1510,Aspen,Rawah,_4
2890,95,19,150,29,2412,247,208,82,541,Aspen,Rawah,_15
2629,270,22,30,11,1360,157,241,221,990,Aspen,Rawah,_25
2958,216,8,30,4,1673,212,248,173,1529,Aspen,Rawah,_34
2695,269,13,30,6,1528,186,244,197,977,Aspen,Rawah,_25
2721,65,10,210,53,240,230,220,123,2188,Aspen,Comanche Peak,_31
2784,85,34,120,0,182,245,161,16,1440,Aspen,Comanche Peak,_31
2823,97,21,95,22,2897,248,205,75,2222,Aspen,Comanche Peak,_31
2796,133,10,366,-1,450,237,235,128,450,Aspen,Comanche Peak,_32
2769,114,20,300,137,330,250,215,83,531,Aspen,Comanche Peak,_32
2772,10,10,339,60,2949,209,220,148,1245,Aspen,Rawah,_34
2743,269,13,90,7,1953,185,244,199,858,Aspen,Rawah,_33
2707,110,16,42,11,1266,245,221,100,750,Aspen,Rawah,_33
2753,124,24,240,-69,630,252,214,75,400,Aspen,Comanche Peak,_32
2547,68,8,437,44,1050,229,223,127,1431,Aspen,Rawah,_13
2645,262,22,95,-7,1315,159,245,221,1080,Aspen,Rawah,_25
2796,214,2,0,0,1948,217,240,160,2321,Aspen,Rawah,_19
2878,139,32,228,132,2108,248,210,64,664,Aspen,Rawah,_15
2781,39,3,60,11,1871,220,232,149,2739,Aspen,Comanche Peak,_31
2850,83,25,242,128,1867,245,187,57,708,Aspen,Rawah,_15
2852,112,18,391,98,1734,248,219,93,886,Aspen,Rawah,_15
2767,169,22,210,61,540,231,243,132,607,Aspen,Comanche Peak,_32
2813,122,17,192,54,1952,247,224,100,934,Aspen,Rawah,_15
2742,47,22,228,63,242,222,186,88,1945,Aspen,Comanche Peak,_31
2878,169,16,240,95,1024,230,245,141,2978,Aspen,Rawah,_13
2775,82,7,30,3,1869,230,228,132,2741,Aspen,Comanche Peak,_25
2809,83,13,120,39,1809,238,216,106,1771,Aspen,Rawah,_35
2790,90,11,180,3,537,237,223,116,268,Aspen,Comanche Peak,_32
2797,74,13,30,6,1048,235,215,109,2165,Aspen,Rawah,_19
2812,224,22,108,51,2266,184,254,199,680,Aspen,Rawah,_15
2801,55,23,430,127,454,227,184,78,2308,Aspen,Comanche Peak,_31
2702,87,21,60,-1,240,245,202,76,553,Aspen,Comanche Peak,_32
2909,199,17,300,71,875,212,252,170,2214,Aspen,Rawah,_35
2835,324,18,454,90,1917,173,218,184,955,Aspen,Rawah,_12
2812,63,25,277,137,306,232,180,65,1756,Aspen,Comanche Peak,_31
2951,261,7,0,0,1708,202,244,181,1463,Aspen,Rawah,_21
2806,259,5,513,49,1961,208,243,173,1951,Aspen,Rawah,_19
2871,145,13,30,0,201,238,237,126,1073,Aspen,Rawah,_35
2794,163,6,30,-2,1909,226,242,149,2322,Aspen,Rawah,_19
2631,101,19,30,10,1320,247,212,86,601,Aspen,Comanche Peak,_32
2850,78,25,543,-77,591,243,186,59,2312,Aspen,Comanche Peak,_26
2883,274,12,153,24,2197,189,243,193,1321,Aspen,Rawah,_25
2916,192,22,558,213,591,213,251,162,1740,Aspen,Rawah,_6
2885,212,6,450,87,2052,215,246,168,800,Aspen,Rawah,_33
2876,104,13,313,-14,1950,241,223,110,1383,Aspen,Rawah,_34
2855,320,19,60,23,2160,168,219,189,882,Aspen,Rawah,_35
2906,354,7,192,20,1919,209,228,157,1452,Aspen,Rawah,_34
2824,252,11,685,59,2103,196,248,190,1800,Aspen,Rawah,_19
2952,187,16,703,248,564,220,250,158,1592,Aspen,Rawah,_6
2662,105,5,30,-3,1211,228,234,140,1731,Aspen,Rawah,_22
2672,108,8,0,0,1436,235,231,128,1434,Aspen,Rawah,_12
2776,90,13,30,5,1470,239,219,109,1716,Aspen,Rawah,_19
2850,145,18,108,31,2247,242,234,115,968,Aspen,Rawah,_15
2738,124,14,216,64,1620,243,229,112,902,Aspen,Comanche Peak,_32
2868,283,11,95,-12,1613,188,240,192,1451,Aspen,Rawah,_25
2754,74,20,342,66,351,239,198,81,2446,Aspen,Comanche Peak,_26
2844,58,18,573,170,601,230,198,94,2455,Aspen,Comanche Peak,_26
2739,333,6,170,55,1600,205,232,165,2155,Aspen,Rawah,_12
2761,119,6,201,31,2601,230,235,138,2066,Aspen,Rawah,_13
2745,223,15,182,49,926,200,253,187,1935,Aspen,Rawah,_6
2674,135,5,108,-2,1237,229,238,143,1822,Aspen,Rawah,_34
2747,235,21,108,8,1559,179,253,206,2375,Aspen,Rawah,_19
2753,93,15,108,19,390,243,215,98,400,Aspen,Comanche Peak,_32
2715,276,10,0,0,1804,194,242,187,752,Aspen,Rawah,_33
2825,205,14,309,98,1684,211,252,173,2220,Aspen,Rawah,_15
2760,122,17,470,126,2644,246,224,101,2058,Aspen,Rawah,_12
2605,278,22,0,0,1321,155,237,219,994,Aspen,Rawah,_30
2908,306,7,30,-5,4878,201,236,174,1797,Aspen,Comanche Peak,_25
2741,69,28,150,32,218,236,173,50,2060,Aspen,Comanche Peak,_32
2853,98,27,424,192,443,252,191,49,1836,Aspen,Comanche Peak,_32
2804,103,9,30,-6,1936,236,228,122,2423,Aspen,Rawah,_19
2882,200,19,492,50,819,209,253,172,1664,Aspen,Rawah,_6
2745,70,20,277,72,283,237,198,83,2081,Aspen,Comanche Peak,_31
2843,171,15,319,14,720,229,246,144,511,Aspen,Comanche Peak,_32
2739,71,11,335,65,351,232,219,118,2380,Aspen,Comanche Peak,_31
2759,214,31,150,68,1100,174,250,194,1776,Aspen,Rawah,_6
2707,69,24,120,57,120,237,185,66,1693,Aspen,Comanche Peak,_32
2766,91,34,175,64,210,249,167,19,2607,Aspen,Comanche Peak,_32
2763,105,8,0,0,1410,234,230,128,1682,Aspen,Rawah,_19
2752,70,21,379,78,402,238,194,78,2372,Aspen,Comanche Peak,_31
2795,94,14,335,4,360,241,219,105,624,Aspen,Comanche Peak,_32
2785,56,31,342,112,351,222,158,47,2053,Aspen,Comanche Peak,_31
2736,63,31,134,77,150,229,160,0,1360,Aspen,Comanche Peak,_32
2935,315,2,300,28,5125,214,237,161,1767,Aspen,Comanche Peak,_25
2570,81,5,313,27,1300,226,231,140,1426,Aspen,Rawah,_4
2743,62,31,150,78,150,229,159,0,1358,Aspen,Comanche Peak,_32
2784,52,24,242,109,1292,224,180,76,853,Aspen,Rawah,_15
2690,152,10,30,3,2672,233,240,138,2208,Aspen,Comanche Peak,_18
2499,164,6,306,21,618,226,242,150,3610,Aspen,Comanche Peak,_20
2806,235,20,127,44,1008,181,253,205,1664,Aspen,Rawah,_15
2840,23,21,277,184,283,203,191,118,1485,Aspen,Comanche Peak,_31
2714,70,21,124,42,150,237,193,77,1718,Aspen,Comanche Peak,_31
2732,137,19,0,0,361,245,229,105,421,Aspen,Comanche Peak,_32
2807,61,15,120,56,1422,231,207,105,1248,Aspen,Rawah,_35
2750,69,26,30,-4,210,237,180,59,2168,Aspen,Comanche Peak,_32
2870,174,19,210,87,1052,228,246,142,2965,Aspen,Rawah,_6
2764,339,27,216,42,1691,153,191,170,1132,Aspen,Rawah,_12
2732,25,7,524,33,30,217,225,145,706,Aspen,Rawah,_13
2910,288,2,228,27,1959,215,238,161,1385,Aspen,Rawah,_34
2559,158,8,0,0,1403,229,242,145,1057,Aspen,Rawah,_19
2534,63,6,390,31,930,226,227,135,1332,Aspen,Rawah,_13
2959,358,17,361,24,5143,192,207,151,1804,Aspen,Comanche Peak,_31
2894,256,12,30,2,2079,191,248,195,1549,Aspen,Rawah,_25
2848,94,20,457,138,488,247,205,78,1597,Aspen,Comanche Peak,_32
2564,328,6,216,19,1461,205,233,167,1559,Aspen,Rawah,_4
2642,273,5,272,2,1018,208,241,172,866,Aspen,Rawah,_4
2647,226,23,228,29,3060,182,254,201,1911,Aspen,Rawah,_15
2787,87,17,330,155,330,242,210,92,666,Aspen,Comanche Peak,_32
2933,195,11,360,95,845,218,249,164,2242,Aspen,Rawah,_35
2651,101,26,134,35,1320,252,196,55,626,Aspen,Comanche Peak,_32
2734,0,18,180,21,2538,191,204,148,391,Aspen,Rawah,_33
2947,294,14,60,12,4837,179,236,196,2028,Aspen,Comanche Peak,_31
2930,186,14,390,92,792,222,249,157,2175,Aspen,Rawah,_35
2634,315,4,180,-5,1045,210,236,165,789,Aspen,Rawah,_19
2720,34,7,268,21,124,219,225,142,808,Aspen,Rawah,_13
2700,57,8,108,11,180,226,223,132,934,Aspen,Rawah,_13
2821,79,10,175,34,713,234,222,119,108,Aspen,Comanche Peak,_31
2772,37,11,600,38,210,219,215,129,870,Aspen,Rawah,_13
2816,61,23,201,94,1900,231,187,77,726,Aspen,Rawah,_15
2778,104,18,95,23,808,247,215,89,1416,Aspen,Rawah,_15
2719,81,5,0,0,1116,226,231,140,595,Aspen,Rawah,_4
2797,63,26,451,123,480,232,179,63,2363,Aspen,Comanche Peak,_26
2724,62,16,242,50,256,232,206,102,2323,Aspen,Comanche Peak,_31
2774,56,7,0,0,938,225,226,135,2143,Aspen,Rawah,_19
2717,72,26,124,79,134,239,179,55,1634,Aspen,Comanche Peak,_32
2613,127,5,201,1,677,229,237,142,6192,Aspen,Comanche Peak,_31
2790,324,17,0,0,2291,176,220,183,834,Aspen,Rawah,_35
2959,160,18,480,121,698,235,241,129,2112,Aspen,Rawah,_35
2850,87,30,272,178,1337,248,177,37,918,Aspen,Rawah,_15
2794,120,17,134,35,2016,247,223,98,955,Aspen,Rawah,_15
2823,36,10,67,1,1369,219,218,133,977,Aspen,Rawah,_25
2726,17,15,150,13,2512,207,208,135,402,Aspen,Rawah,_33
2752,127,22,283,114,1560,250,219,85,866,Aspen,Comanche Peak,_32
2781,104,22,306,149,330,251,206,72,595,Aspen,Comanche Peak,_32
2811,314,23,365,72,1833,153,215,199,1022,Aspen,Rawah,_12
2819,73,45,212,154,216,224,113,0,1421,Aspen,Comanche Peak,_32
2780,55,10,510,46,180,226,219,126,849,Aspen,Rawah,_19
2666,58,14,30,-6,1068,229,211,112,2018,Aspen,Comanche Peak,_31
2797,51,20,395,124,400,226,192,92,2120,Aspen,Comanche Peak,_31
2874,167,9,360,113,2118,227,244,149,741,Aspen,Rawah,_33
2785,36,8,0,0,1006,220,222,138,2143,Aspen,Rawah,_19
2935,297,15,256,22,5139,177,234,197,1691,Aspen,Comanche Peak,_31
2895,114,26,295,154,2044,254,203,59,570,Aspen,Rawah,_15
2710,251,10,60,8,1518,198,247,187,1113,Aspen,Rawah,_25
2740,59,23,190,68,212,230,184,75,1761,Aspen,Comanche Peak,_31
2878,173,22,120,23,424,228,245,137,1087,Aspen,Rawah,_15
2618,100,11,371,-21,811,238,226,118,698,Aspen,Rawah,_19
2599,54,4,256,72,570,222,230,143,6307,Aspen,Comanche Peak,_31
2925,110,21,295,98,1142,250,212,79,391,Aspen,Comanche Peak,_32
2988,181,15,228,58,295,224,248,153,711,Aspen,Rawah,_34
2864,250,20,60,11,1959,173,250,212,1383,Aspen,Rawah,_25
2841,59,17,150,52,2100,231,202,98,2160,Aspen,Rawah,_35
2736,308,13,150,56,1585,183,231,188,2164,Aspen,Rawah,_12
2806,60,14,228,147,242,230,210,109,1392,Aspen,Comanche Peak,_31
2758,89,16,60,12,875,243,212,95,1448,Aspen,Rawah,_25
2829,97,16,212,62,450,245,214,94,1260,Aspen,Comanche Peak,_32
2869,293,23,730,168,2100,149,228,216,1809,Aspen,Rawah,_15
2942,318,12,342,35,5151,188,229,180,1764,Aspen,Comanche Peak,_31
2938,0,5,277,29,5095,213,231,156,1785,Aspen,Comanche Peak,_25
2564,72,5,309,18,1254,226,230,138,1361,Aspen,Rawah,_4
2924,160,14,240,69,516,233,242,136,997,Aspen,Rawah,_34
2850,102,13,0,0,1747,242,222,107,2001,Aspen,Rawah,_19
2859,35,24,313,137,1788,209,178,93,792,Aspen,Rawah,_35
2764,93,10,30,5,842,237,224,118,2170,Aspen,Rawah,_19
2730,82,30,85,20,162,244,173,37,1485,Aspen,Comanche Peak,_32
2768,108,16,85,16,524,245,220,98,283,Aspen,Comanche Peak,_32
2763,80,33,134,86,150,242,163,24,1451,Aspen,Comanche Peak,_31
2790,95,32,134,51,916,251,175,27,1343,Aspen,Rawah,_15
2584,17,7,309,17,1519,214,225,147,1736,Aspen,Rawah,_13
2789,226,20,255,88,765,187,254,198,2040,Aspen,Rawah,_6
2874,43,9,379,42,690,222,220,132,1385,Aspen,Rawah,_13
2852,350,4,540,86,2012,212,233,158,870,Aspen,Rawah,_13
2898,212,10,426,66,759,211,250,173,1574,Aspen,Rawah,_6
2848,63,20,67,19,883,233,194,83,258,Aspen,Comanche Peak,_32
2816,101,14,366,67,1718,243,220,104,685,Aspen,Rawah,_33
2756,4,16,339,65,2864,197,207,145,1289,Aspen,Rawah,_34
2734,96,27,150,86,175,251,191,51,2389,Aspen,Comanche Peak,_32
2741,92,22,210,85,210,248,201,71,1832,Aspen,Comanche Peak,_32
2738,66,31,60,-21,150,232,161,38,2370,Aspen,Comanche Peak,_32
2892,163,5,240,1,1816,225,241,151,1357,Aspen,Rawah,_34
2808,176,4,560,43,2024,221,241,156,1892,Aspen,Rawah,_19
2497,54,8,362,19,711,225,223,131,3705,Aspen,Comanche Peak,_20
2940,31,11,175,26,4977,217,216,133,1839,Aspen,Comanche Peak,_31
2811,151,13,30,0,1995,237,239,130,2372,Aspen,Rawah,_28
2549,54,13,120,4,1505,227,212,116,1541,Aspen,Rawah,_4
2831,63,18,240,48,1909,233,201,93,1969,Aspen,Rawah,_35
2849,188,9,892,72,2312,221,247,159,1591,Aspen,Rawah,_19
2568,320,8,240,29,1433,199,233,173,1530,Aspen,Rawah,_4
2897,156,12,256,74,2084,234,241,136,992,Aspen,Rawah,_34
2750,76,49,150,94,162,221,101,0,1358,Aspen,Comanche Peak,_32
2827,69,29,306,155,335,236,171,46,1784,Aspen,Comanche Peak,_31
2817,157,9,150,17,2139,230,242,143,2207,Aspen,Rawah,_19
2719,72,35,85,53,95,234,151,18,1530,Aspen,Comanche Peak,_32
2855,121,10,0,0,277,237,232,125,1132,Aspen,Rawah,_35
2826,169,27,60,18,607,228,239,124,1337,Aspen,Rawah,_15
2936,64,14,124,12,4666,232,210,107,1944,Aspen,Comanche Peak,_31
2961,149,21,258,48,382,242,234,111,799,Aspen,Rawah,_34
2894,176,8,212,3,1775,224,245,154,1365,Aspen,Rawah,_34
2883,74,33,150,-16,360,238,158,25,2230,Aspen,Comanche Peak,_32
2841,141,18,134,35,2234,243,233,112,1103,Aspen,Rawah,_15
2842,201,23,404,141,698,204,253,173,1891,Aspen,Rawah,_6
2767,73,36,134,91,150,234,147,12,1500,Aspen,Comanche Peak,_31
2771,340,14,216,58,1693,190,219,167,1127,Aspen,Rawah,_13
2750,154,13,134,20,2529,235,240,133,2163,Aspen,Rawah,_13
2862,141,23,875,83,2349,246,227,96,1561,Aspen,Rawah,_15
2857,94,27,350,214,366,250,188,48,1956,Aspen,Comanche Peak,_32
2750,87,21,60,7,2781,245,202,76,2190,Aspen,Comanche Peak,_31
2670,150,8,0,0,1422,230,240,142,1455,Aspen,Rawah,_19
2777,144,19,270,-45,671,243,233,111,451,Aspen,Comanche Peak,_32
2944,6,17,306,30,5087,197,206,143,1829,Aspen,Comanche Peak,_31
2758,90,12,30,6,811,238,221,112,2174,Aspen,Rawah,_19
2907,82,2,0,0,4930,221,236,151,1681,Aspen,Comanche Peak,_25
2709,32,7,190,10,108,219,224,142,792,Aspen,Rawah,_13
